999 3989 
903 620 1 
127 101 84 
648 335 8 
630 894 18 
899 747 71 
914 282 78 
129 45 45 
130 18 16 
658 36 98 
919 137 76 
109 674 22 
640 597 12 
130 29 8 
899 767 55 
106 777 16 
393 72 35 
634 796 67 
898 804 34 
630 923 77 
636 740 16 
126 167 55 
897 844 88 
109 697 53 
368 860 22 
647 404 20 
101 948 23 
923 43 3 
659 36 89 
660 5 35 
897 852 54 
103 896 47 
366 936 72 
110 682 82 
630 947 14 
376 630 68 
638 700 91 
909 496 87 
374 698 26 
101 976 34 
129 108 85 
641 622 92 
127 173 63 
132 18 22 
652 284 47 
902 726 19 
653 257 81 
637 759 90 
109 744 59 
660 47 48 
393 133 76 
396 43 2 
112 657 8 
377 634 88 
111 689 12 
120 410 83 
897 899 56 
386 357 22 
126 227 34 
650 368 71 
118 479 26 
921 163 41 
908 571 8 
372 805 89 
656 195 21 
647 478 90 
398 9 52 
114 624 69 
121 407 89 
133 36 96 
895 991 15 
389 299 31 
927 7 69 
109 790 89 
653 313 5 
378 651 9 
907 636 72 
129 179 73 
644 598 11 
113 678 23 
659 138 29 
639 759 94 
920 240 14 
377 690 90 
653 327 61 
909 583 82 
372 847 70 
649 453 64 
653 330 12 
122 408 51 
642 674 25 
375 760 73 
646 551 35 
648 489 81 
908 622 31 
108 847 23 
105 941 85 
921 221 7 
396 114 100 
919 285 18 
900 875 37 
370 925 76 
923 169 20 
395 155 56 
634 938 79 
897 978 53 
663 42 33 
654 323 6 
135 32 95 
900 893 38 
926 87 72 
117 591 64 
384 506 79 
649 483 32 
111 783 41 
130 194 93 
904 777 98 
129 230 21 
388 393 8 
652 403 19 
382 584 83 
646 592 86 
902 850 16 
108 891 42 
109 869 62 
375 822 25 
392 297 29 
122 483 81 
927 109 45 
111 830 7 
666 14 10 
119 589 14 
928 89 29 
917 433 77 
917 434 24 
121 535 59 
115 722 10 
134 133 60 
376 823 8 
127 353 61 
394 272 93 
381 678 5 
384 590 57 
401 63 83 
373 933 92 
127 368 60 
385 564 26 
139 3 11 
381 693 50 
661 214 15 
382 672 82 
926 192 4 
380 740 3 
383 649 7 
387 525 34 
112 861 94 
387 532 100 
909 737 62 
930 92 60 
139 42 77 
125 477 85 
906 843 35 
391 427 47 
126 451 71 
919 451 27 
656 413 7 
126 461 90 
138 89 62 
916 550 52 
387 568 18 
398 227 79 
138 96 42 
133 254 56 
905 899 84 
640 927 91 
927 222 22 
117 760 94 
923 350 27 
399 211 55 
639 965 80 
665 166 19 
112 928 79 
903 983 7 
905 921 14 
387 596 49 
652 577 80 
645 795 6 
668 83 65 
120 688 95 
141 42 58 
403 112 56 
114 880 38 
395 361 35 
394 398 27 
922 416 64 
645 818 56 
657 446 34 
384 720 58 
650 667 38 
931 148 30 
910 800 57 
121 685 14 
667 143 88 
933 89 20 
405 77 61 
405 81 7 
646 803 81 
671 29 53 
907 906 25 
648 744 38 
647 778 95 
665 220 4 
139 143 57 
650 687 83 
923 416 81 
914 696 56 
383 774 33 
382 808 89 
394 438 58 
126 557 4 
130 433 4 
931 181 28 
144 3 35 
927 306 9 
397 353 33 
393 481 35 
650 706 65 
909 873 93 
405 115 40 
917 627 45 
394 457 18 
932 166 54 
661 376 52 
915 696 91 
393 496 14 
909 886 99 
388 657 49 
392 533 44 
379 938 16 
924 427 95 
932 182 6 
667 206 39 
658 486 50 
910 867 9 
922 496 14 
118 847 76 
922 499 64 
133 383 30 
907 966 71 
398 366 12 
663 343 30 
931 227 91 
400 307 31 
116 925 49 
390 623 43 
930 267 19 
410 5 7 
380 937 35 
129 529 22 
645 918 39 
924 467 37 
402 267 22 
909 936 79 
644 966 83 
913 819 40 
663 379 67 
666 288 30 
143 119 60 
139 245 6 
403 253 98 
405 193 40 
675 19 84 
653 702 24 
138 285 69 
647 890 32 
644 984 94 
650 802 26 
648 868 8 
923 536 76 
929 350 92 
663 406 46 
408 131 84 
411 39 63 
670 202 54 
664 394 70 
383 916 16 
673 119 61 
118 941 82 
120 887 80 
396 524 91 
919 699 25 
927 451 51 
392 656 20 
941 24 58 
395 567 39 
410 104 64 
931 338 78 
143 194 68 
144 164 55 
918 746 32 
920 684 7 
657 647 31 
931 347 99 
135 449 21 
126 729 35 
124 792 57 
391 708 56 
669 282 87 
138 360 54 
413 34 11 
649 910 28 
400 438 11 
654 760 55 
928 459 14 
119 966 76 
133 533 29 
939 126 2 
391 733 5 
407 238 2 
125 793 60 
677 65 24 
132 577 11 
148 81 36 
134 516 2 
917 820 73 
403 371 59 
916 853 54 
407 250 82 
144 213 47 
394 658 48 
405 326 18 
124 846 50 
676 119 49 
667 401 94 
138 417 46 
142 294 62 
659 652 46 
937 229 8 
393 714 33 
143 273 63 
939 173 57 
940 143 9 
399 533 76 
926 581 91 
143 283 22 
664 519 66 
671 302 97 
409 238 5 
666 464 72 
665 496 97 
936 287 56 
394 706 2 
401 489 21 
670 342 87 
386 956 9 
405 367 96 
142 329 38 
152 21 31 
935 324 28 
130 705 66 
387 935 64 
385 998 25 
152 32 23 
662 607 86 
925 648 49 
937 277 48 
150 99 98 
404 419 100 
151 72 39 
657 771 24 
672 308 49 
401 518 21 
666 497 59 
651 963 91 
387 956 28 
946 13 18 
390 866 6 
653 916 51 
658 761 65 
413 166 48 
655 857 35 
654 892 31 
946 33 48 
415 114 35 
662 649 27 
939 255 74 
135 607 62 
143 359 10 
396 708 51 
942 170 96 
141 429 5 
673 323 32 
137 558 26 
152 94 66 
410 289 43 
663 640 64 
679 144 50 
668 487 9 
919 901 79 
398 669 56 
407 393 45 
130 789 6 
679 155 13 
681 94 54 
925 723 72 
939 289 31 
141 455 67 
407 402 65 
656 878 32 
404 500 59 
921 859 6 
935 426 79 
138 558 35 
156 2 62 
655 918 68 
657 858 72 
143 413 32 
678 215 62 
948 37 10 
923 813 74 
946 101 47 
668 528 86 
945 134 7 
943 197 11 
938 354 68 
416 153 65 
676 285 27 
941 267 98 
663 694 35 
154 90 31 
684 51 64 
416 168 9 
946 122 1 
147 316 30 
928 682 41 
136 659 5 
938 375 66 
132 787 96 
151 198 60 
157 18 65 
397 771 56 
145 397 71 
402 624 60 
674 384 34 
673 416 3 
945 177 35 
395 849 73 
684 82 45 
931 618 90 
676 333 39 
140 567 86 
142 506 68 
676 338 27 
152 202 35 
394 893 39 
408 459 28 
157 50 46 
402 648 86 
656 967 53 
404 589 29 
395 871 83 
414 282 18 
673 445 100 
680 230 16 
932 610 51 
942 300 23 
131 866 55 
657 947 13 
685 81 85 
136 717 34 
931 649 50 
666 679 94 
400 735 56 
684 123 33 
405 582 47 
933 598 19 
152 236 36 
678 314 77 
672 502 38 
133 828 26 
930 697 97 
414 310 87 
670 567 79 
143 521 76 
672 508 1 
144 496 15 
398 814 8 
660 885 26 
418 197 58 
923 928 71 
423 45 58 
921 991 20 
926 837 90 
129 970 28 
669 616 68 
926 844 31 
930 720 35 
129 976 3 
672 527 58 
685 124 86 
686 93 11 
141 606 18 
657 995 88 
142 579 1 
408 529 86 
683 196 77 
133 863 19 
671 576 27 
145 499 56 
422 106 7 
925 898 100 
406 605 71 
668 675 51 
403 699 39 
943 343 2 
662 864 75 
420 175 85 
927 846 27 
952 74 66 
687 99 92 
424 62 35 
669 659 90 
133 892 33 
143 586 55 
132 928 76 
678 386 98 
675 482 100 
131 965 47 
941 431 15 
396 943 30 
138 750 60 
144 564 65 
935 620 68 
937 559 10 
663 864 66 
945 314 84 
400 826 63 
141 666 7 
685 188 5 
926 910 15 
137 804 62 
951 150 33 
675 515 36 
925 957 73 
416 354 34 
426 47 84 
947 280 100 
158 164 26 
672 615 68 
933 717 29 
924 999 23 
943 411 31 
952 133 64 
420 243 37 
942 446 84 
412 497 2 
687 165 12 
160 119 65 
401 840 31 
674 572 23 
138 809 100 
164 4 78 
669 734 53 
925 991 16 
399 914 42 
665 862 42 
138 816 81 
957 3 1 
930 841 92 
155 292 70 
400 891 3 
144 637 24 
662 964 37 
673 629 26 
148 522 33 
942 486 24 
136 897 60 
673 637 38 
404 785 51 
426 103 99 
421 260 28 
153 382 95 
165 11 11 
946 379 1 
687 218 9 
953 165 74 
411 586 62 
406 744 89 
429 31 94 
944 450 10 
943 482 66 
162 119 39 
691 104 93 
686 262 96 
161 156 53 
943 490 95 
158 254 1 
142 751 42 
665 922 75 
676 581 50 
404 823 88 
148 568 10 
931 872 15 
421 301 46 
428 84 58 
949 321 63 
677 564 77 
676 596 91 
135 984 40 
674 660 14 
667 879 35 
683 383 65 
417 438 73 
678 539 29 
409 687 58 
157 309 96 
149 558 14 
149 559 87 
943 522 39 
144 721 71 
931 900 61 
952 253 26 
412 611 61 
941 596 12 
152 481 27 
150 547 24 
950 323 35 
415 525 82 
696 7 45 
148 613 38 
929 979 17 
684 383 17 
155 401 42 
958 88 86 
411 663 2 
694 82 90 
670 827 24 
692 145 86 
684 401 94 
666 964 60 
429 122 5 
412 650 60 
159 303 1 
160 272 28 
158 335 7 
156 400 18 
433 7 81 
930 985 68 
149 623 32 
161 251 77 
689 267 39 
941 649 3 
165 130 22 
949 402 33 
149 629 89 
143 816 66 
165 135 91 
419 453 94 
433 21 86 
685 401 62 
936 813 93 
142 852 2 
138 978 81 
668 934 35 
668 936 61 
139 954 32 
434 3 14 
938 763 7 
690 268 100 
169 36 27 
680 582 88 
156 450 68 
674 776 69 
416 585 10 
162 273 21 
932 981 84 
158 401 35 
960 119 25 
151 623 68 
431 136 93 
413 695 90 
163 254 88 
405 945 72 
949 466 85 
679 645 89 
956 254 69 
145 820 57 
148 727 93 
432 115 28 
140 978 35 
939 788 84 
689 349 41 
156 489 76 
951 423 59 
952 393 4 
157 464 88 
954 333 54 
424 380 31 
939 799 65 
672 888 73 
963 62 54 
423 419 18 
692 272 92 
961 126 88 
945 627 38 
950 472 16 
147 790 68 
148 759 77 
958 227 4 
165 235 11 
951 445 30 
415 680 77 
669 999 13 
432 156 3 
943 699 13 
164 274 71 
157 503 41 
679 705 82 
150 723 96 
934 997 42 
958 253 46 
167 202 53 
689 405 24 
146 857 62 
683 594 9 
151 703 9 
437 30 7 
698 134 68 
940 824 83 
173 26 89 
940 825 54 
962 144 52 
152 681 6 
675 852 73 
946 644 4 
428 323 78 
147 849 32 
675 870 53 
960 230 49 
695 256 53 
961 203 74 
430 281 33 
673 940 64 
950 548 39 
672 975 16 
149 806 41 
145 931 5 
684 606 59 
160 467 70 
943 772 4 
947 648 80 
699 145 46 
150 784 44 
435 141 95 
158 537 31 
147 881 68 
152 732 66 
163 391 14 
680 748 7 
693 346 5 
677 845 40 
703 41 49 
952 514 82 
681 727 51 
961 240 83 
424 505 77 
412 878 30 
417 729 18 
424 512 70 
703 55 16 
175 44 79 
689 494 48 
693 371 49 
145 976 13 
160 513 30 
161 482 3 
949 631 73 
941 880 65 
414 834 30 
430 339 76 
163 429 26 
421 627 38 
146 969 71 
427 454 56 
438 118 99 
692 442 59 
148 925 100 
173 156 34 
702 141 11 
432 321 15 
687 608 99 
705 54 35 
429 419 69 
697 311 56 
425 552 13 
965 201 12 
963 264 11 
693 444 84 
415 876 7 
153 807 38 
954 552 80 
942 925 64 
167 384 76 
690 557 88 
174 170 11 
701 217 16 
166 419 42 
954 567 89 
178 48 48 
971 41 92 
943 916 6 
683 786 60 
708 12 98 
178 60 17 
174 187 95 
703 177 6 
432 387 97 
963 312 77 
436 266 55 
179 47 27 
417 862 37 
415 925 53 
425 621 54 
426 594 28 
684 788 55 
156 773 5 
431 440 73 
951 704 42 
168 403 83 
699 327 44 
946 862 98 
943 956 78 
436 293 28 
176 167 48 
703 220 54 
700 316 33 
155 828 68 
958 517 2 
962 394 21 
429 537 32 
698 390 7 
956 588 80 
160 689 22 
975 3 74 
956 593 69 
681 928 41 
685 809 83 
966 290 99 
974 43 24 
447 1 63 
698 414 48 
168 461 15 
684 850 20 
431 507 38 
946 926 15 
967 279 63 
444 109 84 
174 288 3 
950 811 29 
427 643 17 
961 474 70 
438 306 87 
952 759 73 
962 449 86 
176 240 21 
705 232 16 
418 941 22 
419 912 65 
437 354 23 
161 719 20 
173 350 3 
433 482 55 
166 569 58 
957 624 31 
425 740 76 
421 866 29 
684 907 9 
706 227 3 
684 910 46 
159 802 65 
444 161 41 
178 221 52 
703 332 64 
975 94 33 
448 48 49 
946 995 15 
969 284 49 
173 385 54 
170 479 98 
707 225 63 
969 296 70 
178 242 51 
181 152 25 
427 724 64 
183 98 93 
173 409 45 
975 123 62 
711 122 82 
177 293 29 
423 859 44 
685 931 33 
692 720 6 
699 504 75 
158 893 30 
170 522 39 
432 593 16 
435 500 77 
950 920 54 
962 548 32 
701 449 91 
956 736 79 
157 931 40 
948 987 22 
975 153 63 
684 983 44 
434 542 11 
691 768 33 
160 846 7 
156 971 99 
964 499 12 
961 594 47 
173 447 24 
443 269 27 
443 271 76 
974 195 44 
687 901 65 
166 678 26 
430 690 29 
714 78 75 
164 745 83 
165 718 29 
425 851 65 
700 518 84 
703 425 90 
976 155 25 
171 536 11 
959 684 95 
975 193 31 
950 970 52 
699 563 85 
167 672 53 
952 916 50 
699 571 84 
962 611 9 
958 736 43 
978 116 12 
184 156 30 
439 446 68 
441 386 37 
686 984 21 
452 48 17 
177 382 19 
445 266 24 
712 182 35 
452 53 27 
178 359 71 
185 142 75 
706 375 90 
178 360 96 
716 70 64 
163 830 87 
700 567 87 
952 948 83 
957 794 12 
447 226 32 
451 102 55 
973 304 13 
183 219 12 
981 58 28 
964 587 8 
435 610 24 
713 184 50 
443 364 63 
423 986 48 
688 963 60 
699 624 99 
173 552 45 
182 275 91 
702 540 7 
443 378 61 
178 403 75 
960 739 80 
982 60 59 
959 775 7 
166 783 7 
160 970 62 
704 490 17 
984 3 21 
959 779 14 
453 82 80 
184 230 26 
698 681 79 
435 644 33 
180 359 37 
715 158 33 
451 156 67 
963 669 32 
442 437 50 
691 910 4 
717 104 1 
969 485 67 
181 341 30 
425 971 18 
186 189 92 
453 107 75 
446 327 22 
169 732 60 
191 51 73 
165 859 26 
445 372 39 
714 225 14 
717 133 46 
427 934 14 
428 904 23 
452 160 96 
443 440 78 
184 282 15 
442 478 52 
692 920 100 
985 32 14 
167 815 75 
446 358 48 
717 152 39 
191 83 1 
447 344 55 
700 693 25 
980 207 29 
166 868 23 
974 399 31 
719 113 6 
185 285 96 
448 325 89 
714 276 90 
427 984 38 
972 477 38 
457 63 26 
972 482 61 
975 389 16 
958 918 75 
178 524 15 
966 672 54 
432 848 68 
707 515 24 
430 912 91 
721 85 57 
707 520 83 
176 599 17 
432 861 72 
696 875 73 
164 987 66 
187 276 44 
176 618 94 
971 550 29 
184 373 58 
988 25 70 
965 740 89 
459 43 73 
978 340 96 
188 257 50 
441 609 42 
958 972 55 
176 639 18 
696 903 86 
976 416 84 
973 519 67 
976 432 64 
715 332 14 
967 713 53 
181 504 55 
188 287 22 
717 275 25 
435 826 34 
964 814 43 
454 241 13 
175 699 86 
171 829 64 
183 458 72 
964 824 98 
439 717 19 
976 455 95 
433 907 79 
175 714 21 
698 889 15 
169 906 18 
455 232 43 
726 24 46 
461 48 42 
198 11 30 
173 787 56 
443 610 18 
176 696 55 
448 458 91 
169 917 47 
440 711 51 
969 699 73 
961 950 33 
972 609 82 
976 490 50 
972 615 58 
182 530 55 
194 161 66 
971 653 30 
195 136 80 
453 330 61 
726 59 64 
174 790 33 
188 356 42 
715 409 17 
456 248 73 
718 319 59 
452 375 35 
442 686 31 
708 632 68 
974 579 36 
439 782 62 
173 844 53 
706 706 84 
719 309 22 
170 945 34 
191 302 72 
984 296 95 
988 174 77 
444 655 47 
728 46 54 
970 737 46 
198 94 52 
437 880 59 
438 850 30 
438 853 91 
993 32 86 
717 399 33 
993 36 57 
441 766 36 
438 860 60 
450 488 43 
983 350 33 
445 647 34 
718 378 28 
978 512 96 
445 652 54 
724 195 90 
184 554 44 
435 967 2 
445 659 30 
462 132 68 
180 684 79 
188 436 20 
443 724 88 
175 841 62 
984 338 42 
710 641 73 
711 611 25 
979 501 26 
445 674 93 
719 380 17 
437 931 40 
185 553 13 
727 139 14 
173 937 70 
439 885 83 
717 460 11 
172 972 21 
713 587 1 
994 68 24 
456 364 35 
724 248 39 
195 269 57 
992 140 57 
721 350 85 
712 631 95 
173 957 97 
174 926 47 
190 432 93 
995 54 40 
440 876 87 
718 451 32 
440 880 58 
988 281 65 
729 120 72 
446 705 55 
439 923 15 
196 265 90 
458 335 52 
727 188 87 
711 685 88 
732 37 35 
978 607 4 
446 717 4 
458 347 56 
457 379 92 
460 286 85 
706 852 9 
703 946 44 
716 547 34 
988 307 68 
467 78 25 
178 846 52 
457 394 85 
184 666 63 
439 953 77 
969 908 18 
190 483 62 
980 572 21 
970 883 61 
456 434 1 
175 955 100 
707 849 6 
995 113 5 
714 635 18 
716 573 85 
997 54 86 
467 108 21 
993 187 50 
459 358 26 
196 320 11 
461 301 62 
455 489 87 
724 342 36 
186 637 87 
461 304 29 
176 950 28 
203 113 29 
205 51 41 
993 200 61 
206 24 33 
459 375 65 
973 826 100 
187 618 91 
994 177 82 
471 7 72 
189 559 47 
464 227 58 
706 919 38 
183 750 87 
185 689 46 
199 255 64 
989 341 42 
455 512 77 
207 9 71 
984 501 37 
709 835 89 
735 29 50 
723 403 26 
736 2 58 
718 562 9 
195 395 48 
729 225 91 
180 862 51 
449 717 91 
455 532 90 
984 517 19 
733 108 62 
466 196 40 
459 414 34 
728 269 59 
199 287 34 
205 101 50 
992 282 36 
203 166 34 
709 864 96 
994 221 72 
727 308 32 
731 188 96 
984 537 26 
459 430 29 
194 455 61 
190 580 30 
974 852 51 
716 660 62 
990 360 24 
195 430 40 
457 500 66 
709 882 100 
460 414 20 
990 368 19 
986 493 36 
994 245 100 
468 168 30 
723 464 5 
179 946 84 
186 729 60 
179 948 48 
191 581 2 
473 34 19 
209 34 79 
467 230 7 
979 743 41 
714 771 31 
999 128 54 
987 503 29 
460 457 15 
728 342 16 
996 226 67 
195 483 100 
207 111 41 
724 468 51 
972 977 46 
998 174 91 
180 958 70 
460 471 62 
449 815 24 
470 166 6 
473 73 91 
978 806 24 
714 799 24 
993 342 93 
454 672 95 
982 688 79 
466 301 1 
979 787 84 
723 536 52 
988 514 5 
469 221 92 
737 110 41 
730 328 45 
463 416 99 
198 440 2 
998 218 5 
209 110 60 
470 211 8 
979 818 8 
197 486 5 
189 735 71 
999 204 94 
987 578 94 
181 989 46 
204 276 94 
200 401 100 
469 256 91 
987 582 58 
463 444 39 
977 897 36 
212 37 77 
460 543 10 
989 528 92 
192 663 60 
457 640 34 
455 703 42 
477 21 10 
738 122 57 
741 29 33 
989 533 8 
711 962 72 
733 280 75 
453 769 3 
727 467 42 
720 688 23 
449 899 41 
990 512 21 
712 941 21 
991 486 61 
461 533 77 
186 867 43 
980 829 66 
996 336 14 
214 3 12 
731 361 5 
716 827 1 
715 862 41 
458 639 59 
195 603 61 
734 280 62 
461 556 63 
741 75 85 
470 287 53 
998 303 33 
464 474 86 
989 583 100 
985 708 75 
476 108 65 
988 623 85 
186 910 14 
459 642 78 
993 472 75 
452 860 15 
981 845 44 
993 473 31 
197 575 32 
744 2 24 
465 464 31 
456 744 61 
744 12 37 
995 423 31 
714 943 34 
721 726 55 
986 707 26 
451 909 18 
191 786 26 
733 369 94 
979 937 99 
190 822 85 
998 350 48 
468 403 63 
735 318 93 
981 886 9 
983 825 12 
461 627 89 
472 288 33 
476 169 84 
207 318 89 
999 342 40 
462 608 88 
716 934 74 
461 648 2 
715 967 51 
198 612 5 
468 437 28 
206 368 40 
457 780 39 
740 202 40 
726 637 87 
715 982 79 
205 409 50 
465 545 12 
727 615 93 
982 904 59 
482 21 21 
733 438 7 
744 97 72 
455 866 81 
193 805 70 
988 736 33 
988 739 33 
216 97 65 
721 829 73 
480 109 64 
718 924 28 
474 298 24 
475 272 70 
716 994 57 
738 314 3 
206 423 12 
454 927 56 
477 219 54 
189 957 75 
997 485 34 
208 369 37 
986 831 70 
195 777 83 
993 620 24 
457 855 32 
994 592 46 
469 486 5 
731 562 96 
748 36 69 
193 858 49 
191 921 86 
199 677 28 
990 734 18 
729 638 53 
199 685 36 
213 252 50 
200 661 38 
725 771 54 
217 136 11 
478 237 91 
984 935 100 
726 746 56 
215 205 68 
739 347 100 
205 522 2 
213 276 45 
455 969 52 
476 320 8 
198 747 44 
193 908 35 
728 711 6 
730 652 16 
995 629 73 
483 122 37 
472 464 30 
212 334 39 
460 839 56 
724 847 40 
988 855 29 
743 260 96 
459 874 28 
214 278 99 
736 483 51 
720 980 53 
475 384 14 
461 819 54 
750 52 31 
741 332 47 
735 519 36 
720 987 41 
737 462 45 
479 270 71 
735 526 42 
744 250 97 
745 220 66 
218 174 1 
993 726 3 
742 318 7 
217 215 88 
220 123 92 
748 139 56 
481 225 74 
200 746 60 
480 258 94 
219 158 4 
744 267 94 
740 393 78 
996 654 52 
477 360 18 
212 385 95 
221 106 45 
476 395 56 
745 249 55 
733 623 39 
467 678 86 
458 959 47 
479 308 63 
482 215 89 
746 224 4 
748 169 75 
214 344 95 
724 918 9 
461 882 74 
741 394 13 
986 991 32 
487 77 63 
210 473 59 
487 82 14 
225 15 34 
216 297 57 
222 112 19 
469 648 54 
489 28 42 
217 271 15 
458 994 91 
209 522 73 
471 592 34 
739 476 16 
740 446 9 
465 782 23 
995 736 38 
203 715 32 
463 848 68 
733 672 81 
210 503 10 
724 956 7 
490 20 41 
464 827 59 
746 277 48 
731 744 32 
750 156 46 
481 304 64 
485 180 20 
724 968 40 
202 771 98 
207 618 73 
485 192 94 
742 427 97 
479 390 45 
465 828 64 
199 883 34 
218 296 6 
225 79 26 
485 216 44 
214 428 13 
487 157 98 
479 407 3 
462 943 13 
730 827 58 
466 822 92 
747 305 32 
997 748 69 
487 175 25 
726 967 23 
741 505 47 
201 869 86 
222 219 33 
217 378 89 
485 266 76 
995 840 60 
478 487 12 
210 606 72 
747 349 62 
997 795 47 
736 697 92 
750 267 32 
211 594 44 
757 52 13 
473 665 60 
219 349 73 
749 304 98 
494 25 7 
485 305 69 
999 756 28 
470 773 73 
999 760 25 
221 303 90 
204 837 11 
229 62 71 
470 784 95 
754 173 43 
735 766 46 
494 49 74 
221 321 46 
995 903 14 
743 526 96 
204 854 51 
728 994 99 
731 904 55 
735 780 94 
221 335 9 
486 312 73 
207 770 46 
738 694 69 
756 137 1 
995 922 29 
224 250 85 
203 903 95 
749 368 12 
746 462 15 
760 28 7 
736 773 29 
218 450 97 
476 646 75 
744 531 75 
751 314 94 
495 62 32 
209 737 13 
734 846 94 
211 678 8 
217 492 47 
229 122 79 
477 628 17 
746 483 37 
752 297 86 
222 347 39 
491 200 35 
475 703 15 
749 405 14 
745 530 74 
742 624 100 
489 276 79 
221 403 46 
486 384 2 
470 886 65 
219 477 26 
480 579 51 
732 963 40 
233 49 52 
760 96 31 
211 733 1 
469 938 80 
475 757 94 
219 502 43 
219 504 67 
233 73 35 
751 401 80 
745 593 65 
752 376 62 
749 474 33 
761 106 100 
749 480 8 
226 311 21 
733 980 63 
754 342 62 
742 715 42 
225 367 54 
742 727 38 
232 154 72 
487 442 59 
206 965 37 
739 831 34 
221 506 24 
231 204 63 
498 121 82 
229 276 28 
480 688 94 
999 983 64 
476 813 12 
748 576 69 
751 486 58 
473 914 30 
236 70 67 
492 330 71 
214 759 32 
475 863 35 
747 628 50 
488 466 95 
500 97 63 
482 658 57 
212 837 71 
207 994 32 
487 513 1 
762 182 22 
216 728 79 
765 93 36 
218 667 73 
227 388 32 
233 202 60 
473 955 14 
738 932 62 
490 431 72 
493 339 24 
494 308 49 
495 282 49 
763 166 74 
751 539 64 
224 498 22 
222 561 8 
765 112 89 
495 291 48 
742 826 46 
485 602 56 
475 917 22 
737 989 73 
234 203 58 
755 439 21 
765 131 30 
742 846 36 
220 647 12 
757 384 33 
220 648 8 
236 153 99 
491 441 16 
745 760 71 
769 16 94 
752 544 11 
482 725 56 
503 80 20 
224 541 81 
495 333 54 
738 997 99 
753 532 98 
234 247 12 
741 916 8 
230 379 49 
242 8 52 
230 385 56 
240 77 55 
499 240 54 
496 334 45 
749 686 10 
232 333 1 
220 707 91 
475 997 80 
489 563 23 
227 495 64 
214 899 35 
750 669 28 
238 158 26 
241 67 30 
758 424 93 
504 114 68 
768 122 65 
504 118 89 
243 24 88 
232 366 34 
766 196 30 
479 903 92 
508 4 39 
223 651 26 
762 326 63 
237 219 34 
743 922 27 
239 163 38 
767 180 21 
757 497 14 
770 101 34 
477 995 6 
225 619 60 
508 39 73 
491 567 73 
218 839 49 
772 52 70 
773 28 63 
234 354 36 
755 588 31 
501 274 83 
214 983 24 
755 599 3 
767 230 56 
480 939 8 
769 173 20 
486 755 28 
493 538 44 
222 752 80 
506 145 88 
758 530 45 
765 317 31 
220 831 7 
497 438 47 
750 790 40 
215 992 6 
767 268 94 
231 501 17 
510 48 47 
233 446 6 
494 552 32 
485 833 85 
229 578 60 
745 970 7 
765 350 88 
497 467 67 
489 716 31 
231 524 12 
750 820 7 
485 844 22 
220 872 21 
244 136 56 
482 950 11 
487 795 17 
228 634 39 
235 417 96 
240 262 65 
776 30 36 
233 481 94 
225 732 68 
747 934 78 
219 919 97 
492 649 58 
749 874 60 
777 6 83 
220 895 22 
217 989 87 
511 70 30 
776 48 96 
750 862 93 
229 641 25 
490 742 98 
756 693 7 
767 357 88 
754 762 47 
759 609 72 
507 231 85 
489 793 36 
229 665 37 
244 204 33 
769 313 51 
755 753 95 
500 467 40 
774 169 18 
502 411 89 
773 204 98 
758 676 68 
488 856 68 
775 152 56 
220 974 41 
239 390 5 
777 99 71 
245 214 42 
509 226 87 
487 912 22 
245 223 34 
762 580 96 
246 194 80 
780 24 65 
226 815 56 
498 576 44 
511 174 90 
502 457 5 
238 450 46 
251 47 94 
763 560 97 
777 129 20 
764 537 16 
488 905 16 
247 193 56 
766 492 37 
503 454 36 
223 945 9 
489 895 78 
773 283 65 
499 594 42 
760 696 65 
505 410 4 
245 285 81 
509 294 75 
244 326 61 
516 86 6 
757 809 22 
768 471 94 
235 613 7 
772 352 12 
252 91 64 
752 975 1 
252 96 87 
510 290 59 
237 564 77 
495 758 43 
495 760 15 
782 58 76 
784 1 93 
251 142 86 
762 690 83 
488 993 2 
775 288 46 
238 552 48 
780 140 55 
502 578 86 
755 928 99 
770 463 30 
233 733 27 
254 82 77 
768 534 10 
780 163 9 
228 893 84 
227 926 50 
246 339 28 
771 451 41 
236 653 59 
243 436 82 
504 538 78 
495 818 69 
226 967 60 
491 945 3 
236 661 72 
497 765 87 
236 665 47 
247 324 96 
500 677 72 
243 454 11 
776 315 41 
504 558 83 
499 714 61 
238 618 27 
520 68 44 
504 565 57 
764 699 58 
493 912 60 
516 200 50 
253 162 49 
250 256 30 
520 78 45 
784 88 27 
235 727 74 
504 581 22 
522 23 58 
244 450 54 
516 212 63 
247 360 32 
236 704 14 
499 744 69 
229 923 6 
515 249 18 
758 908 25 
230 902 38 
501 694 32 
771 518 82 
257 74 35 
517 207 1 
763 774 81 
251 266 73 
499 773 14 
775 409 7 
233 829 26 
506 564 25 
784 138 57 
247 406 11 
493 972 51 
784 150 13 
242 570 87 
243 553 95 
775 445 85 
519 192 55 
515 322 96 
252 290 40 
777 405 23 
501 771 38 
517 280 10 
498 871 27 
230 990 87 
770 639 11 
520 200 2 
766 769 100 
246 509 95 
777 432 53 
783 246 76 
780 348 29 
241 675 4 
246 521 59 
233 926 49 
234 896 96 
507 627 32 
496 975 56 
258 164 97 
766 803 63 
514 426 6 
786 186 10 
525 86 62 
249 451 30 
761 963 10 
777 468 77 
259 144 74 
776 511 69 
259 161 40 
508 635 12 
